Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Germany,More than 6000,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,,Procurement,Operations/Production,R&D,Sales,Service,,Line of business employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Not required,Not required,2013,Competitively evaluated multiple products,Functionality,Support of large numbers of users,Large data handling capacity,,,Fast query performance,Predefined data connections,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of support from management,,,,,,,Lack of interest from business users,,,Poor data quality,,,,,,,,,,,Good,Very good,Good,Average,Very good,Good,Good,Good,Moderate,Moderate,Good,Low,High,High,Moderate,Low,Low,Low,High,Moderate,High,High,Probably,Good,Good,Satisfactory,1 to less than 2 years,Less than 1 second,50 to less than 100 GB,View,Navigate,Explore/Analyze,,,Planned in the long term,Planned in the long term,Not required,In use,In use,Planned within 12 months,In use,In use,In use,In use,In use,Planned within 12 months,Not required,Not very feasible,Not very important,,,,,,,Geospatial analysis,,Unified view of customers,,,,,,,Capacity/resource planning,,,,,,Germany,10001 -  100000,More than 300,More than 300,15 to less than 20%,Europe,Manufacturing,QlikView,,BOARD,,,,,,,,,,,,,,,,MS Excel,,,,,,,,Qlik Sense,QlikView,,,SAP BO Analysis,SAP BO WebI,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,QlikVIew,,,,,,,,,,,DACH,Europe,100036,Deutsch,User,QlikView,Yes
Europe,Austria,More than 6000,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,,IT,,,,,Operations/Production,,,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Not required,Not required,In use,In use,2015,Competitively evaluated multiple products,Functionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tight deadline,,,,,Unclear requirements,Software-related issues,,,,,,,,,Cannot handle large numbers of users,Cannot handle our data volumes,,,,Software not flexible enough,,,,,,,,,,,Poor,Good,Poor,Moderate,Moderate,Low,High,Moderate,High,Moderate,,Low,High,Low,Moderate,Moderate,Probably not,Satisfactory,,Satisfactory,1 to less than 2 years,5 to less than 10 seconds,,View,,Explore/Analyze,,Create reports,In use,Not required,Not required,Not required,Not required,Not required,In use,In use,Not required,In use,Not required,Not required,,Feasible,Very important,,,Customer behavior analysis,,,,,,,,,,,Simulation,,,,,Predictive analytics,,,Austria,2501 – 10000,76 - 300,25 - 75,1 to less than 5%,Europe,Manufacturing,Infor BI,,,,,,,,,,,IBM Cog Analytics,,Infor BI,,,,,,,,,,,Unit4 prevero,,,,,,,,,,,,,Other,,,,,,,,,,,,,Infor BI,,,,,,,,,,,,,,,,,,,,,,,,,DACH,Europe,100037,Deutsch,User,Infor BI,No
Europe,Switzerland,More than 6000,Services,Business,Service,Management,Finance/Controlling,Human resources,IT,Legal,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,,,Member of a cross-departmental BI team,Yes,Company politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,,,,SAP BO WebI,,,,,Tableau,,,,,,In use,In use,In use,In use,In use,Planned in the long term,In use,2015,Competitively evaluated multiple products,,,Large data handling capacity,Ease of use for report designers,Ease of use for report recipients,Fast query performance,,,,,,,,,,,,,,,,,,,,,,,,Costs higher than expected,,,,,,,,,,,,,,,Cannot handle our data volumes,Query performance too slow,,,,,,,,,,,,,,Good,Good,Good,Good,Moderate,Not achieved,High,Not achieved,High,Not achieved,High,Not achieved,High,Low,Not achieved,High,Probably,Good,Excellent,Satisfactory,1 to less than 3 months,1 to less than 5 seconds,100 to less than 500 TB,View,Navigate,Explore/Analyze,Model/Enrich,,In use,In use,Planned in the long term,In use,In use,In use,In use,,,In use,Not required,In use,,Not very feasible,Important,,,,,,,,,,,,,,,,,,,,,,Switzerland,10001 -  100000,More than 300,76 - 300,20 to less than 30%,Europe,Services,Tableau,,,,,,,,,,,IBM Cog Analytics,,,Information Builders,,,,,,MS SSRS,MicroStrategy,Oracle BI,,,,Qlik Sense,QlikView,,SAP Analytics Cloud,SAP BO Analysis,SAP BO WebI,SAS Enterprise BI,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,QlikVIew,,,,,,,Tableau,,,Other,DACH,Europe,100038,English,User,Tableau,No
Europe,Switzerland,150 - 500,Services,Did not respond,,Management,Finance/Controlling,,,,,Marketing,,,,Sales,,,External consultant,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not required,Not required,In use,Not required,Not required,Not required,Not required,Before 2010,,Functionality,,,,,,,,,,,International focus of the software,,Corporate standard,,,,Bundled with another product,,Availability of skilled people,,,,Data migration,,,,,,,,,,Unclear requirements,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,Moderate,High,High,High,,,Low,,Moderate,High,High,Probably,Good,Excellent,Excellent,3 to less than 6 months,1 to less than 5 seconds,1 to less than 5 TB,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,In use,In use,Planned in the long term,Not required,In use,Not required,Not required,Not required,Feasible,Important,,,Customer behavior analysis,,,,Geospatial analysis,,Unified view of customers,,,,,,,,,,Predictive analytics,,,Switzerland,251 - 500,76 - 300,25 - 75,15 to less than 20%,Europe,Services,MS Excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,QlikVIew,,,,,,,,,,Other,DACH,Europe,100042,Deutsch,Consultant,Microsoft Excel,
Europe,Denmark,More than 6000,Retail/Wholesale,Did not respond,,Management,Finance/Controlling,,IT,,Logistics,Marketing,,Operations/Production,,Sales,Service,,External consultant,Yes,Company politics,,,,,Query performance too slow,,,,,,,Too expensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,Microsoft Excel with Add-In,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Before 2010,,,,,,Ease of use for report recipients,,,,,,,,Price-performance ratio,,Availability of local support,,,,,,Other,,,,,,,,Tight deadline,,Lack of communication in the project team,,Lack of support from management,,,,,,,,,,,,,Query performance too slow,,,Software not flexible enough,,,,Other,,,,,,,Moderate,Moderate,Good,Poor,Poor,Low,Moderate,Not achieved,Moderate,Moderate,Moderate,High,High,,Moderate,Moderate,Probably,Satisfactory,Very poor,Excellent,3 years or more,10 to less than 30 seconds,100 to less than 500 TB,View,Navigate,Explore/Analyze,,,Not required,Planned in the long term,Not required,Planned within 12 months,Planned within 12 months,Not required,Planned within 12 months,,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned within 12 months,Very feasible,Not very important,Pricing and offer optimization,Supply network optimization,,Churn prevention,Fraud prevention,Security analytics,,,,Quality assurance/analysis,Sales management and analysis,,,Simulation,,,IoT analytics,,Predictive analytics,,,Denmark,2501 – 10000,More than 300,More than 300,20 to less than 30%,Europe,Retail/Wholesale,MS Excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,Northern Europe,Europe,100044,English,Consultant,Microsoft Excel,
North America,United States of America,150 - 500,Services,Did not respond,,Management,Finance/Controlling,,IT,,,,,Operations/Production,R&D,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundas,,,,,Microsoft Excel with Add-In,Microsoft Power BI,,,,,,,,,,,,,,SAP BO Web Intelligence,SAP Crystal Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned in the long term,Planned to use within 12 months,Not required,Not required,Not required,Planned to use within 12 months,Planned to use within 12 months,2016,Evaluated only the selected product,Functionality,,,,,,,,,,,,Price-performance ratio,,,,,Bundled with another product,,Availability of skilled people,,,Customization of the product,,Lack of expertise of implementation partner,,Lack of resources on the project team,,,,,,,,,,,,Company politics,,,Poor data governance,Poor data quality,,,,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Not achieved,Low,Low,Moderate,Not achieved,Moderate,Maybe,Satisfactory,Good,Satisfactory,6 to less than 12 months,1 to less than 5 seconds,100 to less than 250 GB,,,Explore/Analyze,,,Not required,Not required,Not required,Planned within 12 months,Planned within 12 months,Planned within 12 months,In use,In use,Planned in the long term,In use,In use,Not required,Planned within 12 months,Not very feasible,Important,,,,,,,,,,,,,Predictive maintenance,,,,,,,,,United States of America,251 - 500,76 - 300,25 - 75,20 to less than 30%,North America,Services,Other,,,,,,,,,,Dundas,IBM Cog Analytics,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,QlikView,,,,SAP BO WebI,,,Tableau,,,Other,,,,,,,,,,Dundas,,,,,,,,,,MS SSRS,,,,,,,,,,,SAP BO WebI,,,,,,Other,,North America,100046,English,Consultant,"SAP Lumira (Discovery, formerly Lumira)",
Europe,Germany,More than 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,,Operations/Production,,Sales,,,IT employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,In use,Not required,Before 2010,Competitively evaluated multiple products,Functionality,Support of large numbers of users,Large data handling capacity,,Ease of use for report recipients,,,High innovative capacity of the vendor,,,,,,,,,,,,,,,,,,,,,Tight deadline,,,Lack of project management,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Moderate,Moderate,Moderate,Moderate,,Low,Moderate,Moderate,,,Low,,Moderate,Moderate,Probably,Good,Good,Good,,5 to less than 10 seconds,10 to less than 100 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Planned in the long term,Planned within 12 months,Planned within 12 months,Planned within 12 months,In use,Planned within 12 months,Planned within 12 months,In use,Planned within 12 months,In use,Planned within 12 months,Planned within 12 months,,Feasible,Very important,Pricing and offer optimization,,Customer behavior analysis,,Fraud prevention,,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,,Sales management and analysis,,Predictive maintenance,,,,,,,,,Germany,More than 100000,More than 300,More than 300,5 to less than 10%,Europe,Retail/Wholesale,MicroStrategy,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,100047,Deutsch,User,MicroStrategy,No
Asia and Pacific,India,More than 6000,Financial Services,IT,IT,,Finance/Controlling,,IT,,Logistics,,,,,Sales,,,IT employee,Yes,,,,,Data volumes too large,,Security limitations,,,,,,,,,,,,,IBM Cognos Analytics,,,,,,,Microsoft Power BI,Microsoft SSRS,MicroStrategy,,,,,,,Qlik Sense,QlikView,,,,,,,,,,,TIBCO Spotfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM Cognos Analytics,,,,,Microsoft Power BI,Microsoft SSRS,,Oracle Analytics Cloud,,,,,,,Qlik Sense,QlikView,,,,,SAP BO WebI,,SAP Crystal Reports,,,Tableau,,,TIBCO Spotfire,,,Planned in the long term,Planned to use within 12 months,Planned in the long term,Planned to use within 12 months,Planned in the long term,Planned to use within 12 months,Planned in the long term,Before 2010,Competitively evaluated multiple products,,,,,,Fast query performance,,,,,Flexibility,,Price-performance ratio,,Availability of local support,,,,,,,,Customization of the product,,,,,,Tight deadline,,,Lack of project management,,,,,,,,,,Poor data governance,Poor data quality,,,,,,,Unable to get or analyze data,,,,Very good,Very good,Very good,Very good,Very good,Very good,Good,Good,Good,Good,Good,High,Low,High,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Definitely,Good,Good,Good,Less than 1 month,Less than 1 second,5 to less than 10 GB,,Navigate,Explore/Analyze,Model/Enrich,Create reports,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,Very feasible,Important,Pricing and offer optimization,Supply network optimization,,,,,,Recommendation/Next-best-offer,,,Sales management and analysis,Risk management/Minimizing risks,,,Real-time process monitoring,,,,,,,India,More than 100000,More than 300,More than 300,1 to less than 5%,Asia and Pacific,Financial Services,QlikView,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,Infor BI,,,,,MS Excel,MS Power BI,,,Oracle BI,,,,Qlik Sense,QlikView,,,,,SAS Enterprise BI,,Tableau,,,Other,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,,,,,,,,,,,,,,Qlik Sense,QlikVIew,,,,,,,Tableau,,,Other,,Asia and Pacific,100050,English,User,QlikView,Yes
Europe,Germany,More than 6000,Financial Services,IT,IT,,Finance/Controlling,,IT,,,,,,,Sales,Service,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Planned to use within 12 months,Not required,,,,,,,,,,,,,,,,,,,,,,,,,Customization of the product,,,,Lack of resources on the project team,,,,,,,Unclear requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe,None used so far,None used so far,,,,,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,Planned in the long term,Not required,Not required,Planned in the long term,,Not required,,Planned within 12 months,Planned within 12 months,Planned within 12 months,Not very feasible,Important,Pricing and offer optimization,,Customer behavior analysis,,Fraud prevention,Security analytics,,,,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,Simulation,,,,Corporate performance management,,,,Germany,2501 – 10000,76 - 300,Less than 25,1 to less than 5%,Europe,Financial Services,SAS Enterprise BI,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,,,,,,,,,,,SAS Enterprise BI,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DACH,Europe,100051,Deutsch,User,SAS Base,No
Europe,Germany,1500 - 6000,IT,Did not respond,,Management,Finance/Controlling,Human resources,,,,,,,,Sales,,,External consultant,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,Oracle Analytics Cloud,Oracle BI,Oracle Hyp Plan,Oracle Hyperion Smart View,Oracle Planning and Budgeting Cloud Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,In use,In use,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,Large data handling capacity,,Ease of use for report recipients,,,,Vendor or product reputation,,,International focus of the software,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,High,High,High,High,High,High,Moderate,High,High,High,High,Definitely,Satisfactory,Excellent,Excellent,Less than 1 month,Less than 1 second,,View,Navigate,Explore/Analyze,Model/Enrich,,Not required,Not required,Not required,Not required,Planned in the long term,Not required,In use,In use,In use,Planned in the long term,In use,Not required,In use,Feasible,Important,,,,,,,,,,,,,,,,,,Corporate performance management,,,Other,Germany,2501 – 10000,76 - 300,76 - 300,5 to less than 10%,Europe,IT,Other,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,Oracle BI,,,,Qlik Sense,QlikView,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,Oracle BI,,,,,,,,,,,,,,,Other,DACH,Europe,100052,Deutsch,Consultant,Oracle Smart View for Office,
Europe,Germany,1500 - 6000,Services,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,,,,,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikView,SAP BO Analysis,,SAP Lumira Designer,SAP Lumira Discovery,,,,,,,,,,,,In use,Planned to use within 12 months,Planned in the long term,Planned to use within 12 months,Planned in the long term,Planned in the long term,Planned in the long term,2015,Competitively evaluated multiple products,,Support of large numbers of users,,,,,Predefined data connections,High innovative capacity of the vendor,,,,,,Corporate standard,,,,,,,,,,,,,Lack of resources on the project team,,,,,,,,,,Other,,,Lack of interest from business users,,Poor data governance,,,,,,,,,,,,Good,Average,Average,Average,Very Poor,Average,Good,Good,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Low,Low,Not achieved,Low,Low,Moderate,High,Probably,Good,Good,Good,6 to less than 12 months,1 to less than 5 seconds,More than 500 TB,View,Navigate,,,Create reports,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned within 12 months,Planned in the long term,In use,In use,In use,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Not very feasible,Important,,,,,,,,,,,,,,,,,,Corporate performance management,,,,Germany,2501 – 10000,Less than 25,Less than 25,1 to less than 5%,Europe,Services,Other,Bissantz,BOARD,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,QlikView,,SAP Analytics Cloud,SAP BO Analysis,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,Other,DACH,Europe,100053,Deutsch,User,"SAP Lumira (Designer, formerly Design Studio)",Yes
Europe,Germany,1500 - 6000,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,,Procurement,Operations/Production,R&D,Sales,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,,,,,,,,,,,,,,,Unit4 prevero,,In use,Planned to use within 12 months,In use,In use,Planned in the long term,In use,In use,Before 2010,Competitively evaluated multiple products,Functionality,,,,Ease of use for report recipients,Fast query performance,,,,,Flexibility,,Price-performance ratio,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,Very good,Very good,Good,Very good,Good,Good,Good,Good,Good,Good,Good,High,High,High,High,High,Low,High,High,Low,High,High,Definitely,Good,Good,Excellent,3 to less than 6 months,1 to less than 5 seconds,10 to less than 50 GB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,In use,In use,Planned in the long term,In use,In use,In use,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned in the long term,Very feasible,Important,,,,,,,,,,,Sales management and analysis,,,,,Capacity/resource planning,,Corporate performance management,,,,Germany,2501 – 10000,More than 300,25 - 75,15 to less than 20%,Europe,Manufacturing,Unit4 prevero,,,,,,,,,,,,IBM Plan Analytics,,,,,,MS Excel,,,,,,Unit4 prevero,,,,,,SAP BO Analysis,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,Unit4 prevero,,,,,,,,,,,,,,DACH,Europe,100054,Deutsch,User,Unit4 prevero,Yes
